There is no second page in this file.	這份檔案沒有第二頁。
SCARS/TATTOOS: none DOB: 3/15/63. PHYS: mex/male, 6'0", blk, brn, 190. ASSIGNED TO: Pratt A/O: Pratt, Jones ARREST RECORD: Narcotics for sale Poss of paraphernalia Assault on police officer CONVICTED: 5/5/82 INCARCERATED: State Pen. LOCATION: Wixsom SENTENCE: 2 year with 5 year probation PAROLE DATE: none. CASE STATUS: Closed Update: 3/2/87 probation. violation pending.	傷疤／刺青：無　出生日期：1963/3/15。外觀：墨西哥裔／男性，6 呎，黑髮，棕眼，190 磅。承辦：普拉特　A/O：普拉特、瓊斯。逮捕紀錄：販售毒品、持有吸毒器具、攻擊警員。定罪：1982/5/5。監禁：州立監獄。地點：威克森。刑期：2 年，觀護 5 年。假釋日期：無。案件狀態：結案。更新：1987/3/2 觀護違規待處理。
As you pass his desk, Captain Hall says, "Wait, Bonds, leave the unmarked car keys here."	你經過他的桌子時，霍爾警監說：「等等，邦茲，把無標誌車的鑰匙留在這裡。」
You drop the keys on his desk, and hurry out the door.	你把鑰匙放在他的桌上，匆匆走出門。
"You've done your work for today, Bonds," Captain Hall declares. "You're off duty as of now."	霍爾警監宣布：「邦茲，你今天的工作做完了。從現在起你下班。」
Captain Hall is too busy right now.	霍爾警監現在太忙了。
The folders are all closed, and you see nothing of interest.	所有資料夾都關著，你沒看到任何值得注意的東西。
You see no folders here.	你在這裡看不到任何資料夾。
You scan the bulletin board and see the shooting schedule. Below the board, is a rack of car keys.	你查看公告欄，看見射擊訓練表。公告欄下方有一架車鑰匙。
The shooting schedule indicates you are behind on your scores.	射擊訓練表顯示你的成績落後了。
The papers on the board are a year old.	公告欄上的文件已經一年了。
Among the many papers on Captain Hall's desk, one catches your interest. You read:	霍爾警監桌上有許多文件，其中一份引起你的注意。你讀道：
"Passwords: MIAMI ICECREAM PISTACHIO"	「密碼：MIAMI ICECREAM PISTACHIO」
Captain Hall doesn't like to be interrupted.	霍爾警監不喜歡被打擾。
