On this desk rests a workable computer.	這張桌上放著一台可以使用的電腦。
CONVICTED: 4/25/1986. INCARCERATED: State Pen. LOCATION: Wixsom. SENTENCE: 34 years. PAROLE DATE: None. CASE STATUS: Closed. END FILE: <2>	定罪：1986/4/25。監禁：州立監獄。地點：威克森。刑期：34 年。假釋日期：無。案件狀態：結案。檔案結束：<2>
SUMMARY: Victim murdered by multiple blows to the head with a baseball bat. The suspect, who has a history of wife beating, is still outstanding and believed to have left the state. CASE STATUS: Open END FILE: <2>	摘要：受害者遭棒球棍多次擊打頭部而死。嫌犯有毆打妻子的前科，目前仍在逃，據信已離開本州。案件狀態：偵辦中。檔案結束：<2>
SUMMARY: The victim, R. Martinez, received multiple stab wounds during a gang war between the "Z84's" and "P59's". The suspect, C. Granandez, was arrested and convicted for second degree murder. He was sentenced to serve 25 years in the State Pen without possibility of parole. CASE STATUS: Non-active. END FILE: <2>	摘要：受害者 R. 馬丁尼茲在「Z84」與「P59」的幫派火拼中遭多處刺傷。嫌犯 C. 格拉南德茲被捕並被判二級謀殺罪成立。他被判在州立監獄服刑 25 年，不得假釋。案件狀態：非活動案件。檔案結束：<2>
SUMMARY: Prior to murder, the victim received a $200,000.00 inheritance. The suspect slowly and systematically poisoned his wife, knowing he would become sole heir to all of their possessions. Overwhelming evidence convicted the suspect of murder in the 1st degree. Subject Lorin South, was sentenced to death by lethal injection. CASE STATUS: Closed. END FILE: <2>	摘要：受害者在遭謀殺前曾獲得 20 萬美元遺產。嫌犯明知自己會成為全部財產的唯一繼承人，便緩慢而有計畫地毒殺妻子。壓倒性證據使嫌犯被判一級謀殺罪成立。洛林．索斯被判以致命注射處死。案件狀態：結案。檔案結束：<2>
SUMMARY: Victim's body recovered from Clearwater River. Evidence recovered from suspect's hotel room led to his conviction of first degree murder. At the time of death, this victim was under investigation for suspicion of murder, auto theft & narcotics. It is believed this victim was employed by the suspect as a hit man. CASE STATUS: Closed. END FILE: <2>	摘要：受害者遺體從清水河尋回。從嫌犯旅館房間取得的證物，使其被判一級謀殺罪成立。死亡時，受害者因涉嫌謀殺、汽車竊盜及毒品案件而接受調查。據信受害者受嫌犯雇用擔任殺手。案件狀態：結案。檔案結束：<2>
SUMMARY: The victim was ambushed while operating his vehicle S/B on Fourth St. The suspect vehicle without warning, pulled along side victims car and shot him with a hand gun. Jason Taselli was under investigation for the murder of West, when he himself became the victim of murder. CASE STATUS: Closed. END FILE: <2>	摘要：受害者駕車南行經過第四街時遭伏擊。嫌犯車輛突然駛到受害者車旁，以手槍射殺他。傑森．塔塞利因威斯特遭謀殺案接受調查，最後自己也成為謀殺受害者。案件狀態：結案。檔案結束：<2>
You already have that particular photograph.	你已經有那張照片了。
You can't take the only mug shot in the file!	你不能拿走檔案裡唯一的嫌犯照片！
You're already looking at it.	你已經在看它了。
Look at page one of the file.	查看檔案第一頁。
This is the end of the file!	這是檔案末尾！
This is the beginning of the file!	這是檔案開頭！
There is no third page in this file.	這份檔案沒有第三頁。
You can only look at one file at a time.	你一次只能查看一份檔案。
If you value your hide in Homicide, you won't leave files lying around loose. Put it back!	如果你在重案組珍惜自己的小命，就不該把檔案亂丟。把它放回去！
You are looking into the file drawer which you just opened. It has folders arranged in alphabetical order.	你正查看剛打開的檔案抽屜。資料夾按字母順序排列。
Open a file and look at the photo.	打開檔案查看照片。
Which file would you like to open?	你想打開哪一份檔案？
It's your typical computer manual - completely unreadable by normal human beings. You're better off without it.	這是典型的電腦操作手冊——正常人完全看不懂。你沒有它反而比較好。
You find the power switch on the back of the computer.	你在電腦背面找到電源開關。
The computer is turned off.	電腦是關機的。
First, turn on the computer, then you can type it.	先開啟電腦，然後才能輸入。
